Pos.,País,Dólaresinter-nacionales
1, Luxemburgo,122 740
2, Singapur,102 742
3, Irlanda,99 239
4, Catar,97 262
—, Macao,90 607
5, Suiza,75 880
6,Noruega,69 171
7, Estados Unidos,68 309
8, Brunéi,64 405
—, Hong Kong,62 839
9, Dinamarca,61 478
10, Países Bajos,60 461
11,Emiratos Árabes Unidos,59 844
—, Taiwán,59 398
12, Islandia,58 151
13, Austria,57 891
14, Alemania,56 956
15,Suecia,55 566
16, Australia,54 891
17, Bélgica,53 973
18, Finlandia,51 867
19, Canadá,51 713
20, Baréin,50 284
21, Francia,49 492
22, Arabia Saudita,48 099
23, Reino Unido,47 089
24, Corea del Sur,47 027
25, Malta,45 042
26, Japón,44 585
27, Nueva Zelanda,44 226
28, Italia,43 376
29, República Checa,42 956
30, Israel,42 570
31, Chipre,41 595
32, España,41 546
33, Kuwait,41 507
34, Eslovenia,40 820
35, Lituania,40 784
36, Estonia,39 729
37, Portugal,36 079
38, Polonia,35 957
—, Puerto Rico,35 943
39, Hungría,35 088
40,Eslovaquia,34 815
41, Bahamas,34 046
42, Letonia,33 394
43,Rumania,32 950
44, Turquía,32 278
45, Grecia,30 495
46, Omán,30 404
47,Panamá,30 388
48, Croacia,29 777
49,Rusia,29 485
50, Malasia,29 340
51,Kazajistán,27 560
52, Seychelles,26 119
53, Trinidad y Tobago,25 883
54, Bulgaria,25 471
55, Chile,24 948
56,Uruguay,23 474
57, Maldivas,23 343
58, Guyana,23 258
59, Argentina,22 141
60, Mauricio,22 030
61,Montenegro,21 355
62, San Cristóbal y Nieves,20 730
63, Costa Rica,20 667
64,Bielorrusia,20 578
65, Serbia,20 545
66,México,20 266
67, República Dominicana,19 800
68, Tailandia,19 004
69, China,18 931
70, Guinea Ecuatorial,18 236
71, Antigua y Barbuda,18 126
72, Botsuana,18 113
73, Macedonia del Norte,17 663
74, Turkmenistán,17 415
75, Gabón,16 244
76, Bosnia y Herzegovina,15 935
77, Georgia,15 709
78, Brasil,15 643
79,Albania,15 225
80, Colombia,15 184
81, Azerbaiyán,14 856
82, Surinam,14 703
83, Barbados,14 329
84,Ucrania,13 943
85, Santa Lucía,13 942
86, Sri Lanka,13 909
87, Moldavia,13 879
88, Libia,13 723
89, Armenia,13 638
90, Irán,13 513
91,Paraguay,13 454
92, Egipto,13 083
93,Perú,12 985
94, Indonesia,12 882
95, San Vicente y las Granadinas,12 811
96, Sudáfrica,12 442
97, Mongolia,12 431
98, Fiyi,12 298
99, Bután,11 928
100, Vietnam,11 677
101, Argelia,11 433
102, Ecuador,11 331
103, Dominica,11 231
104, Túnez,10 594
105, Jordania,10 590
106, Jamaica,10 294
107, Irak,10 038
108, Nauru,9 995
109, Namibia,9 542
110, Suazilandia,9 152
111, Filipinas,9 061
112, El Salvador,8 891
113, Bolivia,8 832
114, Guatemala,8 648
115, Laos,8 519
116, Marruecos,8 027
117, Uzbekistán,7 830
118, India,7 333
119, Angola,6 878
120, Cabo Verde,6 837
121, Tonga,6 156
122, Belice,6 133
123, Mauritania,5 993
124, Ghana,5 968
125, Bangladés,5 812
126, Honduras,5 700
127, Nicaragua,5 648
128, Costa de Marfil,5 642
129,Kirguistán,5 323
130, Yibuti,5 300
131, Nigeria,5 280
132, Kenia,5 274
133, Samoa,5 260
134, Pakistán,5 224
135, Camboya,4 930
136, Birmania,4 831
137, Nepal,4 199
138, República del Congo,4 169
139, Sudán,4 082
140, Papúa Nueva Guinea,3 956
141, Santo Tomé y Príncipe,3 926
142, Tayikistán,3 856
143, Islas Marshall,3 768
144, Camerún,3 745
145, Senegal,3 625
146, Benín,3 573
147, Micronesia,3 372
148, Zambia,3 322
149, Timor Oriental,3 119
150, Comoras,3 022
151, Etiopía,2 973
152, Haití,2 962
153, Tanzania,2 863
154, Lesoto,2 829
155, Guinea,2 731
156, Uganda,2 706
157, Zimbabue,2 698
158, Vanuatu,2 646
159, Islas Salomón,2 483
160, Afganistán,2 474
161, Malí,2 469
162, Ruanda,2 458
163, Guinea-Bisáu,2 409
164, Gambia,2 384
165, Burkina Faso,2 334
166, Togo,2 261
167, Kiribati,2 026
168, Yemen,1 924
169, Eritrea,1 862
170, Sierra Leona,1 771
171, Madagascar,1 639
172, Chad,1 621
173, Liberia,1 602
174, Níger,1 320
175, Mozambique,1 293
176, República Democrática del Congo,1 132
177, República Centroafricana,1 013
178, Malaui,1 005
179, Sudán del Sur,825
180, Burundi,772
