Guerra,Duración,Bando 1,Bando 2,Resultado y/o consecuencias
Guerras de Independencia,1810-1824,Reino de EspañaRealistas españoles en América,Provincias Unidas del Río de la Plata Gran Colombia ChilePrimer Imperio Mexicano PerúRepública de Bolívar,"Victoria de los países hispanoamericanos, los cuales se independizan de España."
Guerras civiles de Colombia​,1812-1902,Centralistas Conservadores,Federalistas Liberales,1ª: Victoria de los Federalistas.2ª: Victoria del gobierno de la Nueva Granada. Se definen más claramente las posturas ideológicas del gobierno.3ª: Victoria liberal.4ª: Victoria de la coalición constitucionalista.5ª: Victoria liberal. Creación de los Estados Unidos de Colombia.6ª: Victoria liberal.7ª: Victoria conservadora. Creación de la República de Colombia.8ª: Victoria conservadora.9ª: Victoria conservadora. Separación de Panamá
Guerra civil entre Centralistas y Federalistas,1812-1814,Federalistas: Provincias Unidas de la Nueva GranadaRepública de Tunja Estado Libre de Antioquia Estado Libre de Cartagena,Centralistas: Estado Libre de Cundinamarca,Victoria federalista.
Guerras civiles argentinas​,1814-1880,Federales argentinosBlancos uruguayos,Unitarios argentinosColorados uruguayos,"Sanción de la Constitución Argentina en 1853, posterior aplicación de la misma incluyendo la federalización de Buenos Aires en 1880. Véase el artículo para entenderlo mejor."
Invasión luso-brasileña de la Banda Oriental,1816-1820,Provincia OrientalMisiones OccidentalesEntre Ríos,"Reino Unido de Portugal, Brasil y Algarve","Victoria del Reino Unido de Portugal, Brasil y Algarve"
Guerra de Independencia de Brasil,1822-1824,Imperio del BrasilMercenarios británicos​ Mercenarios franceses​,Reino de Portugal,Tratado de paz (29 de agosto de 1825).Independencia de Brasil.
Conquista de Chiloé,1824-1826,Supremo gobierno de Chile,Gobierno de Chiloé,Victoria del gobierno de Chile.Chiloé es anexada al territorio chileno.
Guerra del Brasil,1825-1828,Provincias Unidas del Río de la Plata,Imperio del BrasilMercenariosprusianos,Convención Preliminar de Paz.Se crea el Estado Oriental del Uruguay.
Intervención peruana en Bolivia,1828,Bolivia Gran Colombia,Perú,Tratado de Piquiza. Retirada de las tropas de la Gran Colombia de Bolivia. Término de la influencia bolivariana en Bolivia.
Guerra grancolombo-peruana,1828-1829, Gran Colombia, Perú,Victoria naval del Perú Campaña terrestre inconclusa y sin resultados decisivosStatu quo ante bellum.
Guerra civil chilena de 1829-1830,1829-1830,Bando pelucón,Bando pipiolo,Victoria de los rebeldes pelucones.Comienza la República Conservadora.
Guerras civiles venezolanas​,1830-1903,Centralistas Conservadores,Federalistas Liberales,Erradicación del caudillismo.Consolidación de un gobierno central.
Guerra del Cauca​,1832,Nueva Granada,Ecuador,Firma del Tratado de Pasto que dispone la frontera en el río Carchi.
Guerra civil peruana de 1834,1834,Gubernamentales (orbegosistas),Revolucionarios (bermudistas),Se unifica el mando del país en torno a Orbegoso.
Guerra civil peruana de 1835-1836,1835-1836,Luis José de Orbegoso,Felipe Santiago Salaverry,Fundación de la Confederación Perú-boliviana.
Guerra de los Farrapos,1835-1845,República RiograndenseRepública JulianaCamisas rojasApoyados por:Colorados uruguayosUnitarios argentinos,Imperio del Brasil,Victoria imperial.Firma del Tratado de Poncho Verde.
Guerra contra la Confederación Perú-Boliviana​,1836-1839, Confederación Perú-Boliviana Francia, ChileRestauradores peruanos,Disolución de la Confederación Peruano-Boliviana.
Bloqueo francés al Río de la Plata,1838-1840,Confederación Argentina, FranciaUnitarios argentinosColorados uruguayos,Victoria argentina
Guerra Grande​,1839-1852,ColoradosCon el apoyo de :Unitarios argentinos exiliados(en Uruguay)Corrientes(1839-1847)Reino de Francia(1843-1848)República Riograndense(1839-1845)​ Imperio británico (1843-1848) Imperio del Brasil (1850-1851)​ Camisas rojas​ Mercenarios españoles,BlancosCon el apoyo de :Confederación ArgentinaRevolucionarios lavallejistas,Victoria de los Colorados (Uruguay).Victoria de los Unitarios (Argentina).Véase: Consecuencias.
Guerra de los Supremos,1839-1842,Nueva Granada,Supremos,Victoria del gobierno.
Guerra entre Perú y Bolivia,1841-1842, Perú, Bolivia,Firma del Tratado de Puno y posterior Tratado de Paz y Comercio. Expulsión de las tropas bolivianas del sur del Perú​.
Guerra civil peruana de 1843-1844,1843-1844,Directoriales (gobernistas),Constitucionales (revolucionarios),Victoria de las tropas constitucionales.
Guerra del Paraná,1845-1850,Confederación ArgentinaBlancos uruguayos,Reino UnidoFranciaUnitarios argentinosColorados uruguayos,Victoria de la Confederación Argentina.
Guerra civil venezolana de 1848-1849,1848-1849,Rebeldes conservadores,Gobierno liberal,Victoria de los liberales monaguistas.
Guerra civil colombiana de 1851,1851,Partido Conservador,Partido Liberal,Victoria liberal.
Revolución de 1851,1851,Gobierno conservador,Rebeldes liberales,Victoria de los gubernamentales.
Guerra Platina,1851-1852,Confederación ArgentinaFederales argentinosBlancos uruguayos,Imperio del BrasilUruguayUnitarios argentinosEntre RíosCorrientes,Hegemonía brasileña sobre la región platina.
Guerra civil colombiana de 1854,1854,Fuerzas constitucionales,Insurgentes Melistas,Victoria de la coalición constitucionalista.
Rebelión de Barquisimeto,1854,Rebeldes conservadores,Gobierno liberal,Victoria de los liberales.
Guerra civil peruana de 1856-1858,1856-1858,Castillistas,Vivanquistas,Victoria decisiva moderada.
Guerra civil colombiana de 1860-1862,1860-1862,Confederación GranadinaPartido Conservador,Estado del CaucaPartido Liberal,Victoria liberal.Establecimiento de los Estados Unidos de Colombia.
Guerra civil peruana de 1856-1858,1856-1858,Conservadores,Liberales,Victoria de los Liberales.Se sanciona una constitución moderada.
Primera guerra peruano-ecuatoriana,1858-1860,Perú,Ecuador,Victoria del Perú.Firma del Tratado de Mapasingue.
Revolución de 1859,1859,Gobierno conservador,Rebeldes liberales,Victoria de los gubernamentales.
Guerra Federal,1859-1863,Federalistas Liberales venezolanos,Gubernamentales Conservadores venezolanos,Victoria de los Federalistas.Establecimiento de la Federación.Firma del Tratado de Coche.
Ocupación de la Araucanía,1861-1863, Chile,Mapuches,Incorporación efectiva del territorio a Chile.
Guerra del Uruguay,1864-1865,Estado Oriental del UruguayBlancos uruguayosFederales argentinos,Imperio del BrasilColorados uruguayosUnitarios argentinos,Victoria brasileña.
Guerra de la Triple Alianza​,1864-1870,Paraguay,Aliados:Imperio del BrasilRepública ArgentinaEstado Oriental del Uruguay,"Victoria de los Aliados.Derrota devastadora del Paraguay, que perdió gran parte de su población.Firma de tratados de paz y de límites favorables al Brasil y a la Argentina."
Guerra hispano-sudamericana,1865-1866, España, Chile Perú Ecuador(desde 1866) Bolivia(desde 1866),Ambos bandos se adjudican la victoria.Cada país firma tratados de paz con España.
Guerra civil peruana de 1865,1865,Gobernistas,Restauradores,Instauración de la dictadura de Mariano Ignacio Prado.
Guerra civil peruana de 1867,1867,Gobernistas (liberales),Revolucionarios (conservadores),Victoria de las tropas revolucionarias.
Conquista del Chaco argentino,1870-1917, Argentina,Nativos de la Llanura Chaqueña,Anexión del Chaco Austral y del Chaco Central.
Revolución de Abril,1870,Gobierno de los Azules,Rebeldes liberales.,Victoria de los liberales. Inicio del Guzmancismo. Inicio del Liberalismo Amarillo.
Guerra civil colombiana de 1876-1877,1876-1877,Gobierno de ColombiaLiberales,Conservadores,Victoria liberal.
Guerra del Pacífico,1879-1884, Chile, Bolivia Perú,Victoria chilenaCesión de los departamentos Litoral y Tarapacá a Chile.
Campaña del Desierto,1878-1884, Argentina,Nativos de la región pampeana y de la Patagonia,Anexión de la Patagonia oriental y de la Pampa occidental.
Guerra civil colombiana de 1884-1885,1884-1885,ConservadoresGobierno de Colombia,Liberales,Victoria conservadora.
Guerra civil peruana de 1884-1885,1884-1885,Rojos,Azules,Victoria decisiva de los rojos.
Guerra civil chilena de 1891,1891,Congresistas,Balmacedistas,Victoria de los congresistas.Instauración del Régimen Parlamentario.
Guerra civil peruana de 1894-1895,1894-1895,Caceristas,Pierolistas,Victoria pierolista.Inicio de la República Aristocrática.
Guerra civil colombiana de 1895,1895,Conservadores,Liberales,Victoria conservadora.
Guerra civil boliviana de 1898,1898-1901,Partido Liberal con apoyo indígena,Partido Constitucional,Victoria liberal.Traslado de los poderes a La Paz.
Guerra de los Mil Días​,1899-1902,Conservadores:Gobierno nacionalista(1899-1900)Partido Conservador(1900-1902)Apoyados por:AndradistasConservadores ecuatorianos,Liberales:Partido LiberalApoyados por:VenezuelaEcuadorNicaraguaGuatemala,Victoria del Partido Conservador.Se disuelve el Partido Nacional y da paso al periodo de hegemonía conservadora.
Guerra del Acre,1899-1903, Bolivia,Brasil Seringueiros Veteranos de Cuba,Victoria del Brasil. Firma del Tratado de Petrópolis.
Revolución Libertadora,1901-1903,Gobierno Restaurador,Caudillos regionales Rebeldes liberales,Victoria del Gobierno restaurador. Erradicación de los caudillismos regionales. Consolidación de la Hegemonía Andina.
Bloqueo internacional a Venezuela,1902-1903,Venezuela,Imperio británicoImperio alemánReino de Italia,Protocolos de Washington.
Conflicto de la Pedrera,1911,Perú,Colombia,Victoria del Perú. Las tropas colombianas son desalojadas de la zona de la Pedrera.
Guerra del Contestado,1912-1916,Brasil,Rebeldes caboclos,Acuerdo de límites y concordancia entre Paraná y Santa Catarina.
Guerra civil paraguaya de 1922-1923,1922-1923,Gobierno de Paraguay,Sector del ejército de Paraguay,Victoria del gobierno paraguayo.
Guerra colombo-peruana,1932-1933, Colombia, Perú,Statu quo ante bellum.Ratificación del Tratado Salomón-Lozano de 1922.
Guerra del Chaco,1932-1935, Bolivia, Paraguay,Victoria de Paraguay. La mayor parte del territorio (75%) del territorio en disputa le es conferida al Paraguay.
Guerra del 41,1941-1942, Perú, Ecuador,Victoria del Perú.Suscripción al Protocolo de Río de Janeiro.Acuerdo definitivo sobre la frontera entre los dos países.
Guerra civil paraguaya de 1947,1947,Gobierno de ParaguayFuerzas Armadas de ParaguayColoradosEstados UnidosArgentina,FranquistasLiberalesComunistas,Victoria colorada y del gobierno.
Conflicto del Falso Paquisha,1981,Perú,Ecuador,Victoria del Perú. Statu quo ante bellum.
Guerra de las Malvinas​,1982, Argentina, Reino Unido,Victoria del Reino Unido.Statu quo ante bellum.​
Guerra civil de Surinam,1986-1992,Ejército nacional,Jungle Commando,Rendición del Jungle Commando.
Guerra del Cenepa,1995, Perú, Ecuador,Victoria del Perú (de facto).Firma del Acta de Brasilia.
